CLE TOWER:                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000 ;Remark
                          N041.19.27.231 W081.58.06.674 N041.19.50.180 W081.58.32.340
                          N041.26.12.983 W081.48.29.949 N041.26.12.914 W081.48.30.040
                          N041.21.32.352 W081.56.16.765 N041.21.24.928 W081.56.28.466
                          N041.22.03.587 W081.55.27.507 N041.21.51.452 W081.55.46.648
                          N041.31.09.298 W081.40.24.420 N041.31.12.179 W081.40.25.448
                          N041.21.55.900 W081.55.14.316 N041.21.55.329 W081.55.15.217
                          N041.21.51.169 W081.55.47.553 N041.21.55.329 W081.55.15.217
                          N041.21.41.552 W081.55.36.945 N041.21.23.631 W081.56.05.189
                          N041.28.47.183 W081.44.25.616 N041.28.47.091 W081.44.25.689
                          N041.21.22.434 W081.56.07.075 N041.21.17.235 W081.56.15.266
                          N041.28.07.728 W081.45.26.848 N041.28.07.630 W081.45.26.766
                          N041.31.19.411 W081.41.24.410 N041.31.16.711 W081.41.26.766
                          N041.21.50.820 W081.55.47.645 N041.21.46.130 W081.55.55.040
                          N041.29.07.472 W081.53.24.334 N041.28.58.549 W081.52.20.440
                          N041.28.46.624 W081.44.23.544 N041.28.46.723 W081.44.23.540
                          N041.21.41.813 W081.56.27.320 N041.21.46.130 W081.55.55.040
                          N041.25.07.761 W081.53.54.338 N041.25.04.514 W081.52.35.248
                          N041.31.23.751 W081.41.18.887 N041.31.21.760 W081.41.21.748
                          N041.25.14.591 W081.56.33.811 N041.25.11.357 W081.55.14.280
                          N041.26.12.653 W081.48.28.123 N041.26.12.748 W081.48.28.180
                          N041.25.21.325 W081.59.12.859 N041.25.17.813 W081.57.53.347
                          N041.25.44.110 W081.57.50.101 N041.24.51.400 W081.57.54.387
                          N041.25.28.032 W082.01.51.912 N041.25.24.511 W082.00.32.398
                          N041.25.34.971 W082.04.30.515 N041.25.31.500 W082.03.10.994
                          N041.28.07.304 W081.45.25.542 N041.28.07.343 W081.45.25.394
                          N041.25.41.562 W082.07.09.585 N041.25.38.449 W082.05.50.036
                          N041.30.42.053 W081.40.41.020 N041.30.44.013 W081.40.37.036
                          N041.26.06.492 W082.06.09.373 N041.25.13.779 W082.06.12.672
                          N041.26.57.786 W081.58.31.767 N041.26.53.336 W081.58.34.125
                          N041.24.15.466 W081.51.03.352 N041.24.15.907 W081.51.03.825
                          N041.26.53.336 W081.58.34.125 N041.26.31.187 W081.58.43.746
                          N041.24.16.653 W081.51.05.035 N041.24.16.931 W081.51.05.746
                          N041.26.31.187 W081.58.43.746 N041.26.08.623 W081.58.51.479
                          N041.26.08.623 W081.58.51.479 N041.26.00.142 W081.58.53.634
                          N041.24.08.976 W081.51.09.941 N041.24.08.838 W081.51.09.334
                          N041.25.00.598 W081.59.02.982 N041.24.59.358 W081.59.03.084
                          N041.24.59.358 W081.59.03.084 N041.24.36.056 W081.59.03.037
                          N041.24.36.056 W081.59.03.037 N041.24.12.803 W081.59.01.027
                          N041.24.12.803 W081.59.01.027 N041.24.00.720 W081.58.58.954
                          N041.27.30.380 W081.46.26.686 N041.27.30.403 W081.46.26.842
                          N041.28.07.281 W081.45.25.691 N041.28.07.304 W081.45.25.542
                          N041.28.47.554 W081.44.24.689 N041.28.47.545 W081.44.24.841
                          N041.26.11.561 W081.48.28.738 N041.26.11.616 W081.48.28.596
                          N041.28.45.897 W081.44.24.707 N041.28.47.462 W081.44.24.996
                          N041.28.08.072 W081.45.26.978 N041.28.07.952 W081.45.26.956
                          N041.23.12.960 W081.41.40.892 N041.22.34.991 W081.41.03.312
                          N041.28.46.211 W081.44.23.741 N041.28.46.311 W081.44.23.662
                          N041.31.23.149 W081.40.35.075 N041.31.25.311 W081.40.38.818
                          N041.25.34.019 W081.49.31.324 N041.25.33.907 W081.49.31.366
                          N041.24.09.395 W081.51.11.067 N041.24.09.156 W081.51.10.505
                          N041.30.03.066 W081.41.38.150 N041.29.25.098 W081.41.00.505
                          N041.28.47.428 W081.44.24.083 N041.28.47.483 W081.44.24.225
                          N041.27.28.967 W081.46.27.816 N041.27.28.893 W081.46.27.711
                          N041.21.55.329 W081.55.15.217 N041.21.32.162 W081.55.26.587
                          N041.25.34.033 W081.49.29.190 N041.25.34.128 W081.49.29.247
                          N041.26.13.137 W081.48.29.627 N041.26.13.093 W081.48.29.747
                          N041.27.30.343 W081.46.27.427 N041.27.30.299 W081.46.27.547
                          N041.28.46.198 W081.44.25.602 N041.28.46.111 W081.44.25.508
                          N041.27.28.749 W081.46.27.376 N041.27.28.721 W081.46.27.255
                          N041.27.30.284 W081.46.26.392 N041.27.30.339 W081.46.26.534
                          N041.24.12.119 W081.51.02.435 N041.24.12.635 W081.51.02.334
                          N041.28.47.333 W081.44.25.441 N041.28.47.264 W081.44.25.532
                          N041.25.33.939 W081.49.29.151 N041.25.34.033 W081.49.29.190
                          N041.24.09.697 W081.51.11.617 N041.24.09.395 W081.51.11.067
                          N041.26.13.078 W081.48.28.593 N041.26.13.134 W081.48.28.735
                          N041.26.51.020 W081.47.29.235 N041.26.50.900 W081.47.29.235
                          N041.24.16.308 W081.51.04.389 N041.24.16.653 W081.51.05.035
                          N041.28.07.343 W081.45.25.394 N041.28.07.398 W081.45.25.253
                          N041.26.11.498 W081.48.29.322 N041.26.11.491 W081.48.29.182
                          N041.26.11.768 W081.48.28.372 N041.26.13.073 W081.48.28.614
                          N041.31.21.760 W081.41.21.748 N041.31.19.411 W081.41.24.410
                          N041.28.08.340 W081.45.24.739 N041.28.08.435 W081.45.24.778
                          N041.27.29.376 W081.46.28.100 N041.27.29.260 W081.46.28.056
                          N041.25.33.066 W081.49.29.532 N041.25.33.149 W081.49.29.416
                          N041.27.29.053 W081.46.27.910 N041.27.28.967 W081.46.27.816
                          N041.30.49.150 W082.01.17.681 N041.30.57.282 W082.00.42.859
                          N041.24.09.689 W081.51.04.395 N041.24.10.104 W081.51.03.812
                          N041.26.12.929 W081.48.28.351 N041.26.13.009 W081.48.28.463
                          N041.26.51.451 W081.47.27.169 N041.26.51.539 W081.47.27.263
                          N041.26.51.814 W081.47.28.112 N041.26.51.805 W081.47.28.263
                          N041.30.40.797 W081.41.10.439 N041.30.39.842 W081.41.06.829
                          N041.29.30.523 W081.56.23.277 N041.29.18.636 W081.54.41.396
                          N041.26.51.076 W081.47.26.972 N041.26.51.168 W081.47.26.996
                          N041.24.16.946 W081.51.10.206 N041.24.16.724 W081.51.10.806
                          N041.26.50.242 W081.47.28.585 N041.26.51.546 W081.47.28.828
                          N041.28.07.470 W081.45.26.567 N041.28.07.410 W081.45.26.457
                          N041.25.34.364 W081.49.31.016 N041.25.34.294 W081.49.31.107
                          N041.26.51.248 W081.47.29.170 N041.26.51.137 W081.47.29.212
                          N041.25.33.655 W081.49.29.120 N041.25.33.754 W081.49.29.116
                          N041.25.33.242 W081.49.29.317 N041.25.33.343 W081.49.29.238
                          N041.27.29.377 W081.46.25.873 N041.27.29.480 W081.46.25.853
                          N041.27.30.378 W081.46.27.294 N041.27.30.343 W081.46.27.427
                          N041.28.07.274 W081.45.25.838 N041.28.07.281 W081.45.25.691
                          N041.29.29.802 W081.46.04.128 N041.29.30.207 W081.46.02.440
                          N041.28.46.035 W081.44.23.957 N041.28.46.118 W081.44.23.840
                          N041.28.47.523 W081.44.24.377 N041.28.47.547 W081.44.24.533
                          N041.20.28.115 W081.44.23.014 N041.19.50.161 W081.43.45.433
                          N041.26.11.627 W081.48.29.801 N041.26.11.579 W081.48.29.688
                          N041.26.50.298 W081.47.28.824 N041.26.50.237 W081.47.28.714
                          N041.28.46.760 W081.44.25.814 N041.28.46.640 W081.44.25.814
                          N041.19.43.867 W081.44.45.411 N041.20.28.115 W081.44.23.014
                          N041.28.08.192 W081.45.26.978 N041.28.08.072 W081.45.26.978
                          N041.28.45.849 W081.44.24.527 N041.28.45.872 W081.44.24.378
                          N041.24.14.450 W081.51.13.350 N041.24.13.893 W081.51.13.561
                          N041.25.33.149 W081.49.29.416 N041.25.33.242 W081.49.29.317
                          N041.24.12.705 W081.51.13.673 N041.24.12.106 W081.51.13.561
                          N041.27.29.495 W081.46.28.122 N041.27.29.376 W081.46.28.100
                          N041.29.43.912 W081.47.25.990 N041.29.45.551 W081.46.58.662
                          N041.26.51.703 W081.47.28.660 N041.26.51.651 W081.47.28.767
                          N041.31.29.192 W081.40.51.955 N041.31.29.521 W081.40.56.534
                          N041.26.12.741 W081.48.30.197 N041.26.12.638 W081.48.30.257
                          N041.30.53.130 W081.41.27.792 N041.30.50.184 W081.41.25.557
                          N041.27.29.260 W081.46.28.056 N041.27.29.152 W081.46.27.992
                          N041.26.51.358 W081.47.27.093 N041.26.51.451 W081.47.27.169
                          N041.31.03.775 W081.40.23.732 N041.31.06.505 W081.40.23.869
                          N041.26.13.041 W081.48.29.854 N041.26.12.983 W081.48.29.949
                          N041.24.15.425 W081.51.12.687 N041.24.14.963 W081.51.13.053
                          N041.31.06.932 W081.41.30.973 N041.31.03.363 W081.41.31.153
                          N041.22.00.830 W081.43.33.477 N041.22.45.074 W081.43.11.053
                          N041.25.33.012 W081.49.30.738 N041.25.34.317 W081.49.30.981
                          N041.30.38.954 W081.40.54.269 N041.30.39.507 W081.40.49.771
                          N041.25.33.847 W081.49.29.127 N041.25.33.939 W081.49.29.151
                          N041.26.12.841 W081.48.28.256 N041.26.12.929 W081.48.28.351
                          N041.26.13.204 W081.48.29.199 N041.26.13.195 W081.48.29.351
                          N041.24.09.066 W081.51.05.757 N041.24.09.340 W081.51.05.050
                          N041.25.33.434 W081.49.31.322 N041.25.33.326 W081.49.31.257
                          N041.25.32.941 W081.49.29.805 N041.25.32.996 W081.49.29.663
                          N041.26.11.962 W081.48.28.171 N041.26.12.066 W081.48.28.112
                          N041.24.08.749 W081.51.08.675 N041.24.08.719 W081.51.07.973
                          N041.30.44.013 W081.40.37.036 N041.30.46.363 W081.40.33.476
                          N041.26.51.524 W081.47.28.953 N041.26.51.443 W081.47.29.037
