DETROIT TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ D21 CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.29.43.461 W082.57.12.130 N042.29.27.926 W082.56.52.527
                          N042.29.27.926 W082.56.52.527 N042.29.21.290 W082.56.44.896
                          N042.28.35.524 W082.55.52.605 N042.28.11.878 W082.55.27.736
                          N042.27.23.871 W082.54.39.284 N042.26.59.492 W082.54.15.747
                          N042.26.09.387 W082.53.31.340 N042.26.00.622 W082.53.23.644
                          N042.26.00.622 W082.53.23.644 N042.25.43.812 W082.53.10.262
                          N042.24.51.857 W082.52.29.947 N042.24.25.374 W082.52.11.010
                          N042.23.31.673 W082.51.35.114 N042.23.09.144 W082.51.20.577
                          N042.23.09.144 W082.51.20.577 N042.23.04.545 W082.51.17.935
                          N041.48.47.917 W082.57.47.796 N041.48.30.451 W082.58.20.356
                          N041.47.55.711 W082.59.25.640 N041.47.39.546 W082.59.59.370
                          N041.47.07.555 W083.01.07.097 N041.46.52.536 W083.01.41.754
                          N042.26.15.573 W082.45.50.885 N042.25.48.505 W082.45.33.518
                          N042.24.54.011 W082.44.59.856 N042.24.26.418 W082.44.44.062
                          N042.23.30.688 W082.44.14.317 N042.23.03.608 W082.44.00.357
                          N042.23.03.608 W082.44.00.357 N042.23.02.682 W082.43.59.929
                          N042.22.05.955 W082.43.33.805 N042.21.57.563 W082.43.29.943
                          N042.21.57.563 W082.43.29.943 N042.21.37.306 W082.43.21.961
                          N042.20.39.667 W082.42.59.791 N042.20.10.634 W082.42.49.762
                          N042.19.12.278 W082.42.31.368 N042.18.42.973 W082.42.22.914
                          N042.17.43.936 W082.42.08.968 N042.17.26.333 W082.42.04.957
                          N042.17.26.333 W082.42.04.957 N042.17.14.326 W082.42.02.759
                          N042.16.14.918 W082.41.52.024 N042.15.45.084 W082.41.48.160
                          N042.14.45.344 W082.41.41.719 N042.14.15.412 W082.41.39.563
                          N042.13.15.501 W082.41.37.431 N042.12.48.838 W082.41.36.869
                          N042.12.48.838 W082.41.36.869 N042.12.45.534 W082.41.36.968
                          N042.11.45.603 W082.41.38.763 N042.11.39.350 W082.41.38.951
                          N042.11.39.350 W082.41.38.951 N042.11.15.675 W082.41.40.882
                          N042.10.15.883 W082.41.46.456 N042.09.46.054 W082.41.50.371
                          N042.08.46.568 W082.42.00.172 N042.08.16.892 W082.42.05.814
                          N042.07.17.872 W082.42.19.888 N042.07.02.941 W082.42.23.523
                          N042.07.02.941 W082.42.23.523 N042.06.48.477 W082.42.27.717
                          N042.05.49.934 W082.42.45.001 N042.05.20.939 W082.42.55.200
                          N042.04.23.188 W082.43.16.718 N042.03.54.472 W082.43.28.242
                          N042.02.57.578 W082.43.53.550 N042.02.34.747 W082.44.04.021
                          N042.02.34.747 W082.44.04.021 N042.02.29.299 W082.44.06.854
                          N042.01.33.402 W082.44.35.901 N042.01.29.720 W082.44.37.812
                          N042.01.29.720 W082.44.37.812 N042.01.05.870 W082.44.51.779
                          N042.00.11.164 W082.45.24.623 N041.59.44.120 W082.45.41.943
                          N041.58.50.655 W082.46.18.252 N041.58.24.123 W082.46.36.938
                          N041.57.32.258 W082.47.17.207 N041.57.21.280 W082.47.25.772
                          N041.57.21.280 W082.47.25.772 N041.57.06.682 W082.47.38.130
                          N041.56.16.151 W082.48.21.319 N041.55.51.419 W082.48.43.998
                          N041.55.02.556 W082.49.30.475 N041.54.38.475 W082.49.54.365
                          N041.53.51.483 W082.50.44.171 N041.53.34.409 W082.51.02.559
                          N041.53.34.409 W082.51.02.559 N041.53.28.340 W082.51.09.654
                          N041.52.43.187 W082.52.02.418 N041.52.41.990 W082.52.03.816
                          N041.52.41.990 W082.52.03.816 N041.52.21.310 W082.52.29.832
                          N041.51.38.154 W082.53.25.473 N041.51.17.151 W082.53.54.079
                          N041.50.36.185 W082.54.52.594 N041.50.15.978 W082.55.22.199
                          N041.49.37.193 W082.56.23.312 N041.49.30.426 W082.56.33.978
                          N041.49.30.426 W082.56.33.978 N041.49.18.525 W082.56.54.651
                          N042.37.55.748 W083.44.07.875 N042.38.11.722 W083.43.33.534
                          N042.38.42.988 W083.42.24.286 N042.38.57.918 W083.41.49.088
                          N042.39.26.431 W083.40.37.679 N042.39.40.324 W083.40.01.702
                          N042.40.06.098 W083.38.48.380 N042.40.11.008 W083.38.34.382
                          N042.40.11.008 W083.38.34.382 N042.40.18.249 W083.38.11.266
                          N042.40.41.374 W083.36.56.335 N042.40.52.033 W083.36.18.374
                          N042.41.12.346 W083.35.01.958 N042.41.21.932 W083.34.23.467
                          N042.41.39.129 W083.33.05.649 N042.41.45.496 W083.32.35.822
                          N042.41.45.496 W083.32.35.822 N042.41.47.235 W083.32.26.540
                          N042.42.01.965 W083.31.07.773 N042.42.02.775 W083.31.03.443
                          N042.42.02.775 W083.31.03.443 N042.42.08.192 W083.30.28.033
                          N042.42.19.818 W083.29.08.320 N042.42.24.915 W083.28.28.276
