BUFFALO TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ BUF CLASS C             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.51.26.284 W078.44.17.432 N042.51.26.284 W078.44.17.432
                          N042.51.43.435 W078.41.38.416 N042.51.52.053 W078.41.09.266
                          N042.51.52.053 W078.41.09.266 N042.52.02.294 W078.40.41.102
                          N042.52.02.294 W078.40.41.102 N042.52.14.099 W078.40.14.090
                          N042.52.14.099 W078.40.14.090 N042.52.27.393 W078.39.48.390
                          N042.52.27.393 W078.39.48.390 N042.52.42.106 W078.39.24.156
                          N042.52.42.106 W078.39.24.156 N042.52.58.143 W078.39.01.529
                          N042.52.58.143 W078.39.01.529 N042.53.15.413 W078.38.40.645
                          N042.53.15.413 W078.38.40.645 N042.53.33.812 W078.38.21.627
                          N042.53.33.812 W078.38.21.627 N042.53.53.234 W078.38.04.589
                          N042.53.53.234 W078.38.04.589 N042.54.13.560 W078.37.49.632
                          N042.54.13.560 W078.37.49.632 N042.54.34.673 W078.37.36.846
                          N042.51.43.435 W078.41.38.136 N042.51.50.270 W078.41.38.685
                          N042.51.50.270 W078.41.38.685 N042.51.57.014 W078.41.40.289
                          N042.51.57.014 W078.41.40.289 N042.52.03.577 W078.41.42.929
                          N042.52.03.577 W078.41.42.929 N042.52.09.880 W078.41.46.569
                          N042.52.09.880 W078.41.46.569 N042.52.15.834 W078.41.51.162
                          N042.52.15.834 W078.41.51.162 N042.52.21.363 W078.41.56.650
                          N042.52.21.363 W078.41.56.650 N042.52.26.396 W078.42.02.958
                          N042.52.26.396 W078.42.02.958 N042.52.30.870 W078.42.10.006
                          N042.52.30.870 W078.42.10.006 N042.52.34.720 W078.42.17.701
                          N042.52.34.720 W078.42.17.701 N042.52.37.899 W078.42.25.946
                          N042.52.37.899 W078.42.25.946 N042.52.40.367 W078.42.34.629
                          N042.52.40.367 W078.42.34.629 N042.52.42.093 W078.42.43.636
                          N042.52.42.093 W078.42.43.636 N042.52.43.048 W078.42.52.856
                          N042.52.43.048 W078.42.52.856 N042.52.43.226 W078.43.02.161
                          N042.52.43.226 W078.43.02.161 N042.52.42.621 W078.43.11.432
                          N042.52.42.621 W078.43.11.432 N042.52.41.241 W078.43.20.552
                          N042.52.41.241 W078.43.20.552 N042.52.39.108 W078.43.29.397
                          N042.52.39.108 W078.43.29.397 N042.52.36.245 W078.43.37.851
                          N042.52.36.245 W078.43.37.851 N042.52.32.691 W078.43.45.808
                          N042.52.32.691 W078.43.45.808 N042.52.28.493 W078.43.53.161
                          N042.52.28.493 W078.43.53.161 N042.52.23.707 W078.43.59.816
                          N042.52.23.707 W078.43.59.816 N042.52.18.392 W078.44.05.683
                          N042.52.18.392 W078.44.05.683 N042.52.12.621 W078.44.10.690
                          N042.52.12.621 W078.44.10.690 N042.52.06.467 W078.44.14.769
                          N042.52.06.467 W078.44.14.769 N042.52.00.010 W078.44.17.866
                          N042.52.00.010 W078.44.17.866 N042.51.53.336 W078.44.19.940
                          N042.51.53.336 W078.44.19.940 N042.51.46.533 W078.44.20.970
                          N042.51.46.533 W078.44.20.970 N042.51.39.687 W078.44.20.936
                          N042.51.39.687 W078.44.20.936 N042.51.32.886 W078.44.19.841
                          N042.51.32.886 W078.44.19.841 N042.51.26.225 W078.44.17.698
                          N042.51.26.225 W078.44.17.698 N042.51.26.225 W078.44.17.698
                          N042.51.05.554 W078.55.26.204 N042.51.06.202 W078.55.32.471
                          N042.51.06.202 W078.55.32.471 N042.51.28.279 W078.55.25.376
                          N042.51.28.279 W078.55.25.376 N042.51.53.323 W078.55.15.603
                          N042.51.53.323 W078.55.15.603 N042.52.17.378 W078.55.06.721
                          N042.52.17.378 W078.55.06.721 N042.52.40.120 W078.54.56.041
                          N042.52.40.120 W078.54.56.041 N042.53.06.160 W078.54.39.547
