PITTSBURGH TRACON AREA    N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ PIT CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.35.30.704 W080.09.17.474 N040.35.16.068 W080.08.47.392
                          N040.35.16.068 W080.08.47.392 N040.34.59.975 W080.08.18.617
                          N040.34.59.975 W080.08.18.617 N040.34.42.492 W080.07.51.273
                          N040.34.42.492 W080.07.51.273 N040.34.23.696 W080.07.25.474
                          N040.34.23.696 W080.07.25.474 N040.34.03.665 W080.07.01.328
                          N040.34.03.665 W080.07.01.328 N040.33.42.483 W080.06.38.941
                          N040.33.42.483 W080.06.38.941 N040.33.20.239 W080.06.18.397
                          N040.33.20.239 W080.06.18.397 N040.32.57.028 W080.05.59.792
                          N040.32.57.028 W080.05.59.792 N040.32.32.944 W080.05.43.199
                          N040.32.32.944 W080.05.43.199 N040.32.08.092 W080.05.28.685
                          N040.32.08.092 W080.05.28.685 N040.31.42.574 W080.05.16.315
                          N040.31.42.574 W080.05.16.315 N040.31.16.496 W080.05.06.137
                          N040.31.16.496 W080.05.06.137 N040.30.49.974 W080.04.58.193
                          N040.30.49.974 W080.04.58.193 N040.30.23.114 W080.04.52.517
                          N040.30.23.114 W080.04.52.517 N040.29.56.029 W080.04.49.133
                          N040.29.56.029 W080.04.49.133 N040.29.28.834 W080.04.48.054
                          N040.29.11.270 W080.00.56.790 N040.28.38.771 W080.00.58.063
                          N040.28.38.771 W080.00.58.063 N040.28.06.372 W080.01.01.638
                          N040.28.06.372 W080.01.01.638 N040.27.34.168 W080.01.07.502
                          N040.27.34.168 W080.01.07.502 N040.27.02.253 W080.01.15.636
                          N040.27.02.253 W080.01.15.636 N040.26.30.720 W080.01.26.021
                          N040.26.30.720 W080.01.26.021 N040.25.59.666 W080.01.38.621
                          N040.25.59.666 W080.01.38.621 N040.25.29.176 W080.01.53.398
                          N040.25.29.176 W080.01.53.398 N040.24.59.341 W080.02.10.311
                          N040.24.59.341 W080.02.10.311 N040.24.30.250 W080.02.29.305
                          N040.24.30.250 W080.02.29.305 N040.24.01.984 W080.02.50.330
                          N040.24.01.984 W080.02.50.330 N040.23.34.631 W080.03.13.321
                          N040.23.34.631 W080.03.13.321 N040.23.08.266 W080.03.38.208
                          N040.23.08.266 W080.03.38.208 N040.22.42.971 W080.04.04.922
                          N040.22.42.971 W080.04.04.922 N040.22.18.817 W080.04.33.379
