CLEVELAND TRACON AREA     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ CLE CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N041.10.39.515 W082.18.53.529 N041.10.41.993 W082.18.54.877
                          N041.36.26.951 W081.25.36.194 N041.36.25.080 W081.25.38.477
                          N041.26.49.690 W081.47.05.077 N041.26.26.624 W081.46.43.217
                          N040.30.20.506 W080.22.58.332 N040.29.52.000 W080.23.01.417
                          N041.33.50.758 W081.46.14.886 N041.33.49.201 W081.46.17.217
                          N040.28.26.154 W080.47.10.835 N040.28.22.832 W080.47.09.117
                          N040.28.35.383 W080.24.12.973 N040.28.35.804 W080.24.17.617
                          N040.30.03.520 W080.28.52.578 N040.30.10.988 W080.28.52.117
                          N040.29.45.704 W080.20.47.659 N040.29.35.821 W080.20.46.017
                          N041.26.26.624 W081.46.43.217 N041.26.01.911 W081.46.23.990
                          N041.31.43.609 W081.51.59.655 N041.31.41.457 W081.52.04.490
                          N041.33.22.002 W081.46.14.664 N041.33.20.154 W081.46.10.390
                          N041.26.01.911 W081.46.23.990 N041.25.35.883 W081.46.08.269
                          N041.15.51.930 W081.48.01.040 N041.16.07.038 W081.47.16.769
                          N041.04.34.715 W082.14.40.706 N041.04.39.403 W082.14.39.869
                          N041.37.36.705 W081.25.43.119 N041.37.33.547 W081.25.45.169
                          N041.25.35.883 W081.46.08.269 N041.25.08.869 W081.45.55.616
                          N041.33.45.923 W081.46.29.710 N041.33.46.529 W081.46.33.316
                          N041.25.08.869 W081.45.55.616 N041.24.41.199 W081.45.46.903
                          N041.22.09.050 W082.12.07.077 N041.21.20.784 W082.11.58.403
                          N041.24.41.199 W081.45.46.903 N041.24.13.201 W081.45.41.255
                          N040.37.37.234 W080.51.43.607 N040.36.53.562 W080.51.59.655
                          N041.37.36.255 W081.25.02.406 N041.37.40.641 W081.24.57.955
                          N041.24.13.201 W081.45.41.255 N041.23.44.877 W081.45.39.545
                          N041.23.44.877 W081.45.39.545 N041.23.16.227 W081.45.41.334
                          N040.26.28.535 W080.31.54.232 N040.27.16.103 W080.26.50.034
                          N041.02.09.310 W082.19.53.174 N041.01.21.579 W082.18.44.834
                          N040.30.23.252 W080.25.16.107 N040.30.21.260 W080.25.18.634
                          N041.23.16.227 W081.45.41.334 N041.22.48.238 W081.45.46.620
                          N040.29.13.972 W080.18.12.586 N040.29.16.021 W080.18.04.920
                          N041.22.48.238 W081.45.46.620 N041.22.20.251 W081.45.55.402
                          N040.33.40.949 W080.21.14.967 N040.33.18.315 W080.21.35.302
                          N041.12.44.596 W081.38.44.489 N041.13.18.677 W081.37.58.402
                          N041.33.57.454 W081.45.51.674 N041.33.55.703 W081.45.49.602
                          N041.22.20.251 W081.45.55.402 N041.21.53.255 W081.46.07.678
                          N040.49.05.733 W080.16.27.919 N040.49.02.536 W080.17.06.378
                          N041.20.00.957 W082.02.27.136 N041.19.28.598 W082.02.04.278
                          N041.21.53.255 W081.46.07.678 N041.21.27.578 W081.46.23.446
                          N041.21.27.578 W081.46.23.446 N041.21.02.561 W081.46.42.270
                          N041.25.15.429 W081.51.00.424 N041.25.15.887 W081.51.00.370
                          N041.32.01.285 W081.54.49.952 N041.31.51.782 W081.55.37.070
                          N041.32.07.596 W081.35.45.361 N041.32.47.266 W081.36.22.970
                          N041.28.33.423 W082.11.11.240 N041.27.46.868 W082.11.30.270
                          N041.21.02.561 W081.46.42.270 N041.20.39.521 W081.47.04.147
                          N041.05.35.874 W082.15.18.478 N041.05.38.306 W082.15.20.247
                          N041.20.17.798 W081.47.29.077 N041.19.58.051 W081.47.56.185
                          N041.36.40.525 W081.25.31.657 N041.36.35.697 W081.25.30.785
                          N041.19.58.051 W081.47.56.185 N041.19.40.280 W081.48.25.909
                          N041.40.58.139 W082.05.49.645 N041.41.25.606 W082.04.43.409
                          N041.43.44.374 W081.52.36.359 N041.43.43.724 W081.51.20.309
                          N040.45.04.538 W080.29.54.226 N040.44.45.671 W080.30.25.809
                          N040.30.59.159 W080.20.32.767 N040.31.06.033 W080.20.33.909
                          N041.19.40.280 W081.48.25.909 N041.19.24.812 W081.48.57.811
                          N041.19.24.812 W081.48.57.811 N041.19.11.648 W081.49.31.456
                          N041.04.43.750 W082.13.54.284 N041.04.49.356 W082.13.54.056
                          N041.19.01.116 W081.50.06.407 N041.18.52.886 W081.50.42.665
                          N041.18.52.886 W081.50.42.665 N041.18.47.288 W081.51.19.357
                          N041.18.47.288 W081.51.19.357 N041.18.44.651 W081.51.56.922
                          N041.37.15.557 W081.26.09.175 N041.37.23.532 W081.24.51.622
                          N041.18.44.651 W081.51.56.922 N041.18.44.315 W081.52.35.360
                          N040.30.40.635 W080.48.10.646 N040.30.39.857 W080.48.05.360
                          N040.30.19.275 W080.25.43.471 N040.30.22.438 W080.25.46.860
                          N041.18.44.315 W081.52.35.360 N041.18.46.940 W081.53.12.926
                          N041.37.43.640 W081.25.42.624 N041.37.39.777 W081.25.41.926
                          N041.18.46.940 W081.53.12.926 N041.18.52.197 W081.53.50.058
                          N040.29.39.195 W080.32.15.068 N040.28.52.599 W080.32.15.358
                          N041.27.45.469 W081.55.56.960 N041.27.46.570 W081.55.55.858
                          N041.18.52.197 W081.53.50.058 N041.19.00.085 W081.54.26.321
                          N041.31.03.400 W082.17.02.638 N041.31.55.870 W082.16.33.621
                          N041.31.14.157 W081.52.26.878 N041.31.12.639 W081.52.25.721
                          N041.19.00.085 W081.54.26.321 N041.19.10.606 W081.55.01.714
                          N040.36.30.548 W080.22.52.966 N040.36.07.438 W080.23.23.814
                          N041.36.23.520 W081.25.47.367 N041.36.23.815 W081.25.50.914
                          N041.19.10.606 W081.55.01.714 N041.19.23.429 W081.55.35.366
                          N040.36.52.507 W080.22.20.198 N040.36.30.548 W080.22.52.966
                          N040.22.09.979 W080.38.31.908 N040.21.43.859 W080.38.18.766
                          N041.19.23.429 W081.55.35.366 N041.19.38.886 W081.56.07.277
                          N041.31.43.402 W081.48.25.677 N041.31.54.721 W081.49.12.077
                          N040.30.34.582 W080.48.27.342 N040.30.36.041 W080.48.25.877
                          N041.19.38.886 W081.56.07.277 N041.19.56.318 W081.56.37.448
                          N041.31.14.542 W081.51.39.808 N041.31.20.147 W081.51.39.548
                          N040.30.05.783 W080.25.47.505 N040.30.08.526 W080.25.46.248
                          N040.30.36.751 W080.29.01.027 N040.30.41.244 W080.29.08.648
                          N041.19.56.318 W081.56.37.448 N041.20.16.056 W081.57.05.004
                          N041.38.10.100 W081.25.59.641 N041.38.09.527 W081.25.55.604
                          N040.28.49.081 W080.25.09.579 N040.28.39.876 W080.25.18.904
                          N041.20.16.056 W081.57.05.004 N041.20.37.441 W081.57.29.946
                          N041.04.09.829 W081.46.47.320 N041.03.59.329 W081.48.01.746
                          N041.37.50.236 W081.26.04.788 N041.37.51.502 W081.25.52.346
                          N041.37.54.017 W081.25.50.179 N041.37.51.502 W081.25.52.346
                          N040.30.35.931 W080.25.15.940 N040.30.28.197 W080.25.14.646
                          N041.20.37.441 W081.57.29.946 N041.21.00.473 W081.57.51.836
                          N041.21.00.473 W081.57.51.836 N041.21.00.473 W081.57.51.836
                          N041.21.01.990 W081.57.40.369 N041.21.00.473 W081.57.51.836
                          N041.10.52.024 W082.12.36.608 N041.11.41.589 W082.13.29.200
                          N041.36.52.336 W081.25.15.444 N041.36.42.679 W081.25.13.700
                          N041.11.41.589 W082.13.29.200 N041.12.33.136 W082.14.17.901
                          N041.08.51.961 W081.34.33.277 N041.08.14.878 W081.35.30.501
                          N041.38.32.385 W081.49.01.389 N041.38.39.083 W081.50.05.701
                          N041.12.33.136 W082.14.17.901 N041.13.26.666 W082.15.03.146
                          N041.04.34.598 W082.13.59.905 N041.04.39.016 W082.13.55.546
                          N041.11.34.517 W082.20.18.050 N041.11.39.660 W082.20.19.046
                          N040.28.39.919 W080.24.29.168 N040.28.41.153 W080.24.29.946
                          N040.29.01.254 W080.20.24.269 N040.29.00.927 W080.20.27.646
                          N041.13.26.666 W082.15.03.146 N041.14.21.849 W082.15.44.930
                          N041.30.33.747 W081.52.02.795 N041.30.33.013 W081.52.03.530
                          N040.30.10.034 W080.25.44.212 N040.30.16.332 W080.25.37.830
                          N040.30.39.700 W080.29.24.407 N040.30.33.938 W080.29.29.730
                          N041.14.21.849 W082.15.44.930 N041.15.19.020 W082.16.22.383
                          N040.28.47.009 W080.29.52.145 N040.28.46.622 W080.29.56.083
                          N041.15.19.020 W082.16.22.383 N041.16.17.190 W082.16.55.932
                          N041.16.17.190 W082.16.55.932 N041.16.17.190 W082.16.55.932
                          N041.21.56.203 W081.56.40.403 N041.21.43.833 W081.56.43.232
                          N041.21.12.999 W081.57.10.631 N041.21.06.316 W081.57.24.732
                          N041.36.34.540 W081.41.57.846 N041.36.58.654 W081.42.54.232
                          N041.09.28.334 W081.46.05.515 N041.09.44.745 W081.45.04.832
                          N041.16.17.190 W082.16.55.932 N041.17.10.444 W082.17.22.478
                          N041.33.51.446 W081.45.37.020 N041.33.53.593 W081.45.32.178
                          N041.17.10.444 W082.17.22.478 N041.18.04.368 W082.17.45.547
                          N040.34.52.610 W080.24.44.054 N040.34.26.313 W080.25.06.547
                          N040.47.37.851 W080.24.06.336 N040.47.25.648 W080.24.43.247
                          N041.18.57.559 W082.01.38.404 N041.18.27.998 W082.01.09.647
                          N041.27.46.063 W081.55.11.275 N041.27.43.399 W081.55.11.647
                          N041.38.05.528 W081.26.12.360 N041.38.06.624 W081.26.11.247
                          N041.18.04.368 W082.17.45.547 N041.18.58.961 W082.18.05.574
                          N041.19.34.120 W081.33.09.535 N041.20.21.240 W081.32.53.174
                          N041.18.58.961 W082.18.05.574 N041.19.54.556 W082.18.21.684
                          N041.15.47.116 W081.27.56.959 N041.14.55.185 W081.28.28.684
                          N041.38.12.374 W081.25.21.162 N041.38.08.032 W081.25.25.184
                          N041.19.54.556 W082.18.21.684 N041.20.50.492 W082.18.34.745
                          N041.38.43.371 W081.53.20.218 N041.38.39.517 W081.54.24.945
                          N040.30.22.438 W080.25.46.860 N040.30.24.476 W080.25.48.345
                          N040.29.44.477 W080.30.24.325 N040.29.47.207 W080.30.27.645
                          N041.20.50.492 W082.18.34.745 N041.21.46.772 W082.18.43.881
                          N040.29.12.752 W080.28.45.563 N040.29.17.245 W080.28.53.181
                          N040.30.34.854 W080.19.23.528 N040.30.30.296 W080.19.16.481
                          N041.21.46.772 W082.18.43.881 N041.22.43.395 W082.18.49.525
                          N041.24.15.466 W081.51.03.352 N041.24.15.907 W081.51.03.825
                          N041.22.43.395 W082.18.49.525 N041.23.40.030 W082.18.52.111
                          N041.33.36.887 W082.15.25.439 N041.34.25.760 W082.14.46.711
                          N041.26.42.939 W081.41.43.141 N041.27.16.800 W081.42.01.811
                          N041.27.23.708 W081.55.27.136 N041.27.19.848 W081.55.26.411
                          N041.23.40.030 W082.18.52.111 N041.24.36.351 W082.18.50.759
                          N040.39.33.084 W080.36.24.900 N040.39.08.332 W080.36.44.059
                          N041.24.36.351 W082.18.50.759 N041.25.33.016 W082.18.45.908
                          N040.29.49.869 W080.29.16.022 N040.29.48.383 W080.29.08.908
                          N041.25.33.016 W082.18.45.908 N041.26.29.366 W082.18.37.114
                          N041.05.41.885 W082.14.29.729 N041.05.38.540 W082.14.24.314
                          N041.26.52.977 W081.54.17.153 N041.26.51.887 W081.54.27.414
                          N041.26.29.366 W082.18.37.114 N041.27.25.399 W082.18.25.249
                          N041.43.27.900 W081.22.11.706 N041.42.36.000 W081.21.14.449
                          N040.38.20.720 W080.19.12.137 N040.38.06.310 W080.19.52.449
                          N040.49.03.066 W080.10.50.614 N040.49.06.002 W080.11.26.949
                          N041.36.36.607 W082.02.33.538 N041.36.10.416 W082.03.28.249
                          N041.30.33.437 W081.51.40.916 N041.30.35.507 W081.51.43.049
                          N041.34.30.913 W081.45.39.109 N041.34.31.983 W081.45.44.549
